Wall time,Step,Value
1542189314.098378,209,1.6632409824524075e-05
1542189314.7027938,210,1.668252662057057e-05
1542189315.2994218,211,1.6588217476964928e-05
1542189315.897196,212,1.6887539459276013e-05
1542189316.4919262,213,1.7291566109634005e-05
1542189317.0907066,214,1.6594520275248215e-05
1542189317.6857,215,1.6162042811629362e-05
1542189318.2777627,216,1.6421956388512626e-05
1542189318.8753996,217,1.6562946257181466e-05
1542189319.4684536,218,1.6400241293013096e-05
1542189320.0185008,219,1.6837524526636116e-05
1542189320.5750797,220,1.6066873286035843e-05
1542189321.1531847,221,1.6337418855982833e-05
1542189321.7247713,222,1.666231401031837e-05
1542189322.2993307,223,1.5704199540778063e-05
1542189322.8752997,224,1.637910281715449e-05
1542189323.4463089,225,1.6943389709922485e-05
1542189324.0207489,226,1.67161433637375e-05
1542189324.592922,227,1.5896865079412237e-05
1542189325.166439,228,1.660076668485999e-05
1542189325.7404723,229,1.6246160157606937e-05
1542189326.3334267,230,1.6276275346172042e-05
1542189326.912192,231,1.657095162954647e-05
1542189327.485645,232,1.5585259461659007e-05
1542189328.0549634,233,1.7582020518602803e-05
1542189328.6249912,234,1.553536822029855e-05
1542189329.1980731,235,1.5793562852195464e-05
1542189329.7597115,236,1.5983301636879332e-05
1542189330.3292727,237,1.652144237596076e-05
1542189330.9004004,238,1.5840949345147237e-05
1542189331.469602,239,1.647436511120759e-05
1542189332.045795,240,1.6567772036069073e-05
1542189332.6149945,241,1.597057234903332e-05
1542189333.1859643,242,1.6675738152116537e-05
1542189333.7524133,243,1.5751427781651728e-05
1542189334.324223,244,1.578388037160039e-05
1542189334.8947723,245,1.574708949192427e-05
1542189335.4636075,246,1.6015086657716893e-05
1542189336.0351431,247,1.589353269082494e-05
1542189336.6044552,248,1.5789699318702333e-05
1542189337.178025,249,1.6895608496270142e-05
1542189337.7491093,250,1.584417805133853e-05
1542189338.3196554,251,1.5682373486924917e-05
1542189338.8941152,252,1.6077221516752616e-05
1542189339.4657133,253,1.689920827629976e-05
1542189340.0372493,254,1.5349469322245568e-05
1542189340.6079516,255,1.5176104170677718e-05
1542189341.1845057,256,1.6080064597190358e-05
1542189341.752683,257,1.5182706192717887e-05
1542189342.3264332,258,1.562547004141379e-05
1542189342.8986871,259,1.5962270481395535e-05
1542189343.4732559,260,1.5889419955783524e-05
1542189344.0456645,261,1.559863994771149e-05
1542189344.622947,262,1.574973612150643e-05
1542189345.1926975,263,1.5293568139895797e-05
1542189345.7611525,264,1.5362560588982888e-05
1542189346.334714,265,1.5853525837883353e-05
1542189346.9094164,266,1.532709393359255e-05
1542189347.4783552,267,1.5911884474917315e-05
1542189348.0494068,268,1.5416557289427146e-05
1542189348.6185954,269,1.547256215417292e-05
1542189349.1893613,270,1.5767847798997536e-05
1542189349.764398,271,1.563525256642606e-05
1542189350.333315,272,1.5105977581697516e-05
1542189350.905381,273,1.5573335986118764e-05
1542189351.4776618,274,1.652751052461099e-05
1542189352.048769,275,1.5398021787405014e-05
1542189352.61888,276,1.559860356792342e-05
1542189353.1935685,277,1.583809353178367e-05
1542189353.7628417,278,1.526284722785931e-05
1542189354.3312707,279,1.5593883290421218e-05
1542189354.9004269,280,1.5526258721365593e-05
1542189355.472598,281,1.540841367386747e-05
1542189356.0666478,282,1.528587927168701e-05
1542189356.634773,283,1.5473615349037573e-05
1542189357.2153049,284,1.5084649930940941e-05
1542189357.7837808,285,1.526072264823597e-05
1542189358.354268,286,1.546453859191388e-05
1542189358.92659,287,1.5291772797354497e-05
